web-scraper-order,web-scraper-start-url,champion,champion-href,Counters,Countered
"1515286482-1018","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Pantheon","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Pantheon/","","Malzahar"
"1515286335-734","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Sion","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Sion/","","Nasus"
"1515286314-678","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Sona","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Sona/","","Leona"
"1515286832-1789","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Irelia","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Irelia/","Udyr",""
"1515287021-2306","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Bard","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Bard/","Rakan",""
"1515286322-695","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Skarner","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Skarner/","","Udyr"
"1515286615-1367","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Lucian","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Lucian/","","Ezreal"
"1515286631-1404","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Leona","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Leona/","","Morgana"
"1515286738-1676","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Jhin","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Jhin/","Caitlyn",""
"1515286514-1107","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nocturne","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nocturne/","Riven",""
"1515286077-197","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Xayah","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Xayah/","","Sivir"
"1515286275-584","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Taliyah","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Taliyah/","Karthus",""
"1515286328-713","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Sivir","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Sivir/","","Twitch"
"1515286674-1502","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kha'Zix","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Khazix/","Kayn",""
